,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E005  R. V. College of Engineering  Bangalore,ME Mechanical,6009,--,53783,10239,46189,20191,3336,--,21456,3949,27970,--,4144,--,31110,2851,18424,11094,23467,55420,28603,11776,--,64188
E005  R. V. College of Engineering  Bangalore,SE Aero SpaceEngg.,3258,79980,--,2966,--,6852,3368,--,--,2440,--,--,2697,15520,--,1423,10915,3568,11501,28531,27490,17281,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,"AD ArtificialIntel, Data Sc",2664,--,8384,2888,--,5711,3512,--,12649,2036,--,5229,1643,--,--,1004,3294,2597,15859,49552,28452,9706,41216,--
E006  M S Ramaiah Institute of Technology  Bangalore,AI ArtificialIntelligence,2283,--,--,2914,--,3668,3451,--,--,1393,--,--,1821,--,--,929,3447,3002,15084,47358,20775,6365,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,BT Bio Technology,11618,--,40605,9839,--,21581,8674,--,132478,9692,--,--,7533,--,--,6131,23493,13580,22818,170725,63042,29829,57303,--
E006  M S Ramaiah Institute of Technology  Bangalore,"CA CS (AI, MachineLearning)",2154,--,--,2653,11752,4459,3506,--,15261,963,--,4017,1539,--,4741,599,3433,2243,9103,29723,25816,8554,--,22302
E006  M S Ramaiah Institute of Technology  Bangalore,CE Civil,25032,--,63184,27727,--,44788,23332,--,78695,24199,--,--,26404,--,36629,22369,31226,33930,28752,38757,34541,26946,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,CH Chemical,16391,--,122170,22869,25683,37698,18145,--,202772,19215,--,--,16619,26774,--,14466,33161,24027,36494,146533,81913,37549,--,71024
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,1024,--,--,1254,3061,1974,1075,--,4023,610,3596,1685,834,--,1017,476,733,989,3941,7462,4728,1021,--,13873
E006  M S Ramaiah Institute of Technology  Bangalore,CY CS- CyberSecurity,2564,--,--,2727,--,7262,2896,12323,--,1700,--,--,1657,--,--,904,3485,4257,15910,--,19652,7879,30567,12483
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,3773,12109,7105,3483,6204,4712,4192,--,--,2452,--,6232,2185,--,5962,1722,3457,3556,12790,28765,27461,9320,--,34278
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,11516,--,19580,10242,--,17284,6761,--,72517,6001,29298,--,4299,--,--,3858,11192,6892,20161,40783,44402,15332,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,EI Elec. Inst.Engg,16979,65522,--,14370,--,25202,16611,--,--,13721,--,--,9658,--,--,6969,18603,19609,37096,--,76706,33983,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,ET Elec.Telecommn. Engg.,11714,--,33996,10185,--,23500,14064,145515,--,7910,--,14305,7072,36092,--,4274,22616,13766,35843,--,54524,49756,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,2163,11329,6008,2457,5810,3111,3446,--,7549,1323,--,2898,1412,6533,3442,863,1620,2425,9662,23772,16831,6946,--,25994
E006  M S Ramaiah Institute of Technology  Bangalore,IM Ind. Engg.Mgmt.,31155,--,--,30805,--,74026,43443,--,148036,27038,--,--,36953,--,74624,22050,63319,35911,46705,--,159619,109445,164134,--
E006  M S Ramaiah Institute of Technology  Bangalore,MD Med.Elect.,23665,--,--,19850,--,78368,24629,--,--,19041,--,33658,25777,--,--,12744,55883,32956,45644,82877,111707,119381,--,--
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,26691,--,--,32261,--,35887,16883,--,88173,14854,54306,34545,12276,--,35455,11755,27129,31200,41799,103397,60259,31061,--,115501
E006  M S Ramaiah Institute of Technology  Bangalore,SE Aero SpaceEngg.,--,--,--,17252,30038,--,9066,--,25720,7936,--,--,8768,--,--,6488,18477,14777,44587,--,--,25614,--,39929
E007  Dayananda Sagar College of Engineering  Bangalore,AE Aeronaut.Engg,12842,--,46894,8829,52444,25736,9202,--,--,9675,--,35696,8836,--,--,7894,22905,14480,16707,--,58372,16969,--,26141
E007  Dayananda Sagar College of Engineering  Bangalore,AI ArtificialIntelligence,6889,--,17374,6996,--,8542,5193,30777,26135,3466,11616,--,4369,12297,--,2713,11233,6858,23720,36781,34357,14397,--,27934
E007  Dayananda Sagar College of Engineering  Bangalore,AU Automobile,82409,--,--,62938,120225,99130,57091,--,151281,49689,--,--,55215,--,--,45305,69486,56595,80422,--,141867,91350,--,--
E007  Dayananda Sagar College of Engineering  Bangalore,BT Bio Technology,15280,--,--,15943,47504,49780,21239,--,--,12440,--,--,12780,--,--,9609,33401,19582,31095,--,77584,35731,--,99370
