,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E220  Alliance University  Bangalore,CW B Tech in IT,57296,--,80110,57442,--,--,57728,--,--,52279,--,62821,49463,--,--,48611,65436,57245,126050,228496,--,161325,--,--
E220  Alliance University  Bangalore,DB B Tech in ME,108104,--,--,128406,--,--,130173,--,--,115305,--,--,132134,--,--,100479,144496,127359,181874,--,--,--,--,--
E220  Alliance University  Bangalore,ZQ B.TECH ININ.TCH.DAT.ANAL,--,--,--,73657,--,81726,--,--,--,--,--,--,55229,--,--,54120,86186,66538,167698,--,234287,209690,--,--
E220  Alliance University  Bangalore,ZV B.TECH.ININF.TEC.AUG.REA,80631,--,146521,80095,--,--,84997,--,--,77804,151088,--,68244,--,--,67917,--,72668,191214,--,--,246021,--,--
"E221  Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist",AI ArtificialIntelligence,103608,154669,--,91688,--,101640,95172,109375,--,91103,--,--,89619,--,--,86947,--,91531,148926,--,190506,143505,--,--
"E221  Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist",CE Civil,--,--,--,205682,--,--,--,--,--,--,--,--,181081,--,--,153309,176809,194072,205420,--,274793,192750,--,--
"E221  Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist",CS Computers,64951,--,--,71232,73208,76018,63275,--,106460,67621,--,117788,66533,--,72725,58741,63904,64604,86346,111956,137524,83439,--,105042
"E221  Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist",EC Electronics,79348,--,95772,85471,92634,118609,87564,--,--,91885,--,--,78861,--,90698,72825,77737,79387,135231,--,253271,135233,--,--
"E221  Biluru Gurubasava Mahaswamiji Institute of Technology  Mudhol,Bagalkot- Dist",ME Mechanical,--,--,--,213159,--,--,--,--,--,220483,--,--,--,--,--,167306,--,231878,257567,--,--,--,--,--
"E222  Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R)",CS Computers,46720,--,60323,51286,63395,57186,49802,--,73147,44710,--,55521,45025,58884,49023,42781,49077,48209,94792,139889,117472,56815,--,125136
"E222  Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R)",CY CS- CyberSecurity,62144,117530,109033,64914,--,74406,61628,--,--,58028,--,59250,58157,--,--,57126,75909,57607,126528,--,189066,143286,--,--
"E222  Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R)",EC Electronics,69881,117208,--,64007,--,74112,61446,--,160257,62358,102470,95412,58302,--,--,56560,--,65983,122339,--,156605,136040,--,--
"E222  Cambridge Institutute of Technology-North Campus  Devanahalli(TQ),Bangalore(R)",ME Mechanical,--,--,--,144196,--,--,--,--,--,--,--,--,136156,--,--,126676,--,162611,223563,--,--,--,--,--
E224  Impact School of Architecture  Bangalore,AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,441,--,--,--,--,--,--,--,--
E225  S.J.B School of Architecture and Planning  Bangalore,AR Architecture,--,--,--,481,--,--,--,--,--,302,--,--,440,--,--,236,--,--,--,--,--,--,--,--
E225  S.J.B School of Architecture and Planning  Bangalore,DG DESIGN,--,--,174612,140393,--,170992,151889,--,--,--,--,--,--,--,--,116873,134151,136304,202736,--,--,192828,--,--
E227  Cauvery Institute of Technology  Mandya tq,CE Civil,141855,--,--,140902,--,--,144046,--,--,114866,220268,175723,183556,--,--,113609,117569,118360,171302,--,--,--,--,--
E227  Cauvery Institute of Technology  Mandya tq,CS Computers,71535,--,91436,75997,83050,91237,79149,--,85089,66805,--,--,72025,--,76652,65010,65229,71919,105757,130435,124770,67858,--,159826
E227  Cauvery Institute of Technology  Mandya tq,EC Electronics,97232,--,115510,85056,113199,135037,101288,271269,--,81651,--,85851,82360,--,--,77605,79987,83635,125933,--,169748,131290,--,--
E227  Cauvery Institute of Technology  Mandya tq,IE Info.Science,133443,--,--,124401,--,--,111716,--,161557,104773,--,--,111650,--,--,104084,119232,111978,199060,--,224839,211233,--,--
E227  Cauvery Institute of Technology  Mandya tq,ME Mechanical,--,--,253389,234973,--,--,--,--,--,--,--,--,--,--,--,108862,--,217338,251255,--,--,--,--,--
"E228  Mysore School of Architecture  Lingabodi,Mysore",AR Architecture,--,--,--,--,--,--,382,--,--,--,--,--,495,--,--,377,--,--,--,--,--,--,--,--
"E229  Gopalan School of Architecture and Planning  Whitefield , Bangalore",AR Architecture,--,--,--,500,--,--,--,--,--,416,--,--,--,--,--,396,--,--,--,--,--,--,--,--
"E230  R R School of Architecture  Chikkabanvara, Bangalore",AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,502,--,--,--,--,--,--,--,--
E232  Reva University  Bangalore,AM B Tech in AM,21519,--,--,22553,46781,28164,21446,--,--,18045,--,--,18400,--,21959,17258,26170,21583,70350,86944,106799,71981,139013,82078
E232  Reva University  Bangalore,AR Architecture,--,--,--,--,--,--,404,--,--,372,--,--,418,--,--,329,--,--,--,--,--,--,--,--
E232  Reva University  Bangalore,BB B Tech in EC,32788,--,--,30627,37035,33051,37783,--,41520,25305,--,31360,26009,--,32031,25112,30642,30701,88371,109439,112032,80627,--,95942
E232  Reva University  Bangalore,BG B Tech in AD,23689,--,--,23274,30011,30583,24253,--,--,20596,--,--,20798,--,27303,20198,23814,23805,76181,92531,92449,93016,--,98124
E232  Reva University  Bangalore,BJ B Tech in EE,47178,--,76720,44798,--,60115,50024,--,--,45822,--,51964,43696,63098,--,41485,50352,49027,128478,--,194179,153764,--,--
E232  Reva University  Bangalore,BL B Tech in AS,52615,--,--,39722,--,--,51784,--,111154,33294,122875,67986,32098,--,--,32012,--,46253,109275,--,207771,113203,--,--
E232  Reva University  Bangalore,BP B Tech in CE,91739,--,--,126696,--,134221,106243,--,--,95138,--,--,103549,158225,--,87934,90295,117516,161823,--,184354,170290,--,208413
E232  Reva University  Bangalore,BU B Tech in CI,29230,--,--,27352,41035,31828,30273,--,--,22756,--,--,22693,--,29296,21581,27102,26712,75710,94084,92653,93225,--,115191
E232  Reva University  Bangalore,BW B Tech in CS,18493,--,22185,17015,20983,19599,20011,--,24503,13540,--,17182,15470,--,17380,12890,18186,16507,48688,64211,75764,52141,63599,65962
E232  Reva University  Bangalore,CL B Tech in EO,38391,114605,41709,31399,--,--,44848,--,75467,28204,--,37248,28549,--,--,27740,33640,31984,80903,--,164798,126985,--,--
E232  Reva University  Bangalore,CN B Tech in IB,24664,--,44468,26803,--,--,29059,--,99709,22426,--,29075,22432,--,--,22334,79482,28345,78759,--,--,88315,--,--
E232  Reva University  Bangalore,CU B Tech in IS,20739,--,31876,20726,--,21678,28024,--,50626,16550,--,--,17249,--,--,16238,19342,18180,68188,178345,81941,79509,137470,103883
E232  Reva University  Bangalore,DB B Tech in ME,88998,--,--,106541,125558,127965,96799,--,--,82941,--,--,93108,--,--,82459,96381,114669,188118,271323,228715,185128,--,--
E232  Reva University  Bangalore,DD B Tech in MS,111710,--,274810,59398,--,--,74069,--,--,69972,--,--,55699,--,--,51149,100604,96409,188264,--,--,128251,--,--
E232  Reva University  Bangalore,DF B Tech in RA,46567,--,--,55482,--,--,42298,131384,--,41024,--,49009,43227,--,--,38686,--,45001,120202,--,--,161499,--,--
E232  Reva University  Bangalore,DH B Tech in RAI,36568,--,--,32650,--,44838,41407,--,--,25810,--,--,27611,--,--,24839,63555,29662,103877,--,145169,91242,--,--
E232  Reva University  Bangalore,DK B Tech in SS,32007,52516,73093,30808,--,--,39190,--,96452,25698,--,--,25037,--,--,24677,55323,31539,88725,--,138816,74098,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,AT AutomotiveEngg.,170698,--,--,76033,--,--,168047,--,--,90084,--,--,107447,--,--,61198,102013,90210,98502,--,--,126855,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BB B Tech in EC,23503,--,--,18262,--,--,28542,--,--,18754,--,--,14992,--,23502,14477,33326,23419,73718,--,103524,101464,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BH B Tech in AI,20035,--,--,19937,--,27671,15996,--,39023,17301,--,--,12116,31687,--,11885,--,18706,68593,145287,111955,44957,--,92278
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BJ B Tech in EE,52310,--,61832,38502,--,86849,61911,--,94431,29271,83017,--,37902,--,--,28483,89495,35226,96264,--,--,108863,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BL B Tech in AS,23648,--,--,23355,90247,37719,19079,--,--,18051,--,--,14568,--,78691,13319,64658,19057,91370,--,91414,137238,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BP B Tech in CE,--,--,--,119191,--,--,--,--,--,82300,--,--,77535,--,--,63538,--,94332,109572,--,--,195559,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,BW B Tech in CS,17435,--,--,16086,25086,20614,21588,--,--,12208,--,21062,12026,--,19084,10518,19184,17916,56379,63027,77382,58766,--,86707
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,CU B Tech in IS,18920,--,--,17097,--,24519,25286,--,--,14926,--,--,16706,--,--,14063,24315,18475,69490,--,104968,87894,--,99899
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,DA B Tech in MC,--,--,--,22829,--,--,--,--,--,--,--,--,22240,94598,--,3428,--,27552,73376,--,--,120835,164419,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,DB B Tech in ME,85367,--,--,91736,--,114233,102975,--,--,71202,--,--,63138,--,--,53482,--,65554,158497,--,236059,214943,--,--
E235  M.S. Ramaiah University of Applied Sciences  Bangalore,DJ B Tech in RO,--,--,112675,38550,--,--,--,--,--,--,--,--,--,--,--,24783,44489,33155,57037,--,--,106029,--,--
"E237  Presidency University  Yelahanka, Bangalore",AM B Tech in AM,38839,--,52987,40245,56564,52337,37523,--,--,35537,--,--,33445,--,40225,31495,41824,39740,88720,112762,116697,110664,136379,117330
"E237  Presidency University  Yelahanka, Bangalore",BB B Tech in EC,63156,--,72979,59686,63667,64860,59825,--,--,50813,--,--,51795,--,58028,48249,54112,55941,136503,169860,170155,171230,--,243071
"E237  Presidency University  Yelahanka, Bangalore",BJ B Tech in EE,82511,--,--,78452,--,87391,66619,--,--,64689,--,94405,67890,89120,--,63110,75577,79850,150753,--,225480,174685,--,--
"E237  Presidency University  Yelahanka, Bangalore",BN B Tech in BD,51354,--,--,58205,--,82548,61566,--,131886,50609,135165,--,52111,--,--,48846,--,56060,124522,--,154654,112796,--,--
"E237  Presidency University  Yelahanka, Bangalore",BP B Tech in CE,124855,--,--,126041,--,--,131499,--,174834,117903,--,--,119193,--,--,113623,128229,131024,193839,--,215826,159763,--,--
"E237  Presidency University  Yelahanka, Bangalore",BQ B Tech in CG,56646,--,--,57936,95445,63070,55149,--,99220,50153,--,--,51373,--,--,48111,54780,51741,125025,--,130096,150356,--,212568
"E237  Presidency University  Yelahanka, Bangalore",BU B Tech in CI,56251,78518,--,56831,--,76614,47700,--,--,47368,--,58134,44063,--,--,43256,53182,45552,88495,--,107646,103068,--,--
"E237  Presidency University  Yelahanka, Bangalore",BV B Tech in CO,61381,--,--,64115,123827,67156,55960,--,97961,48152,--,--,52121,--,81812,44859,56869,51364,120305,179188,159273,124521,228217,221449
"E237  Presidency University  Yelahanka, Bangalore",BW B Tech in CS,47985,49569,52403,44645,58486,54845,44327,58705,53042,37321,54409,44347,38924,50637,44970,34108,46154,42885,110944,147941,156554,131600,166531,148968
"E237  Presidency University  Yelahanka, Bangalore",BX B Tech in CY,52366,--,--,57395,--,72006,54245,--,--,47872,--,--,48482,--,58244,47104,64559,57252,128555,131868,193900,141770,196515,213841
"E237  Presidency University  Yelahanka, Bangalore",BY B Tech in DO,60042,--,91728,57771,--,80079,59856,--,--,53330,--,--,53938,--,--,51068,72140,63163,142543,--,--,153958,--,--
"E237  Presidency University  Yelahanka, Bangalore",BZ B Tech in DS,48281,--,75109,52180,72284,66572,51372,--,--,45728,--,--,45065,--,56383,43727,59524,51202,132857,182452,166393,155567,--,218198
"E237  Presidency University  Yelahanka, Bangalore",CM B Tech in EV,79060,--,--,87833,--,--,108268,--,--,--,--,--,73242,160307,--,67870,--,82174,183126,--,193799,88195,--,--
"E237  Presidency University  Yelahanka, Bangalore",CQ B Tech in IO,75378,--,--,68266,102108,74058,64811,--,--,60333,--,--,59694,--,69310,57977,61484,67842,145647,194915,195497,179155,--,235754
"E237  Presidency University  Yelahanka, Bangalore",CU B Tech in IS,55528,--,56448,47911,73203,60865,46616,--,75455,40441,--,--,42399,--,58461,40202,56068,48007,125189,217841,199214,155086,--,217819
"E237  Presidency University  Yelahanka, Bangalore",CX B Tech in IY,56333,--,--,63505,89188,70411,50444,--,79579,49031,--,74167,50523,77864,--,48271,66445,60979,142889,205389,227955,137727,--,223820
"E237  Presidency University  Yelahanka, Bangalore",CZ B Tech in LC,63570,--,104115,65859,--,--,62780,--,--,54329,139477,85040,56450,--,--,53287,96286,67850,140279,--,211286,112794,--,--
"E237  Presidency University  Yelahanka, Bangalore",DB B Tech in ME,119916,--,144352,123095,--,--,115157,--,--,99082,--,--,106332,--,--,99030,--,118210,195437,--,263478,177404,--,--
"E237  Presidency University  Yelahanka, Bangalore",DE B Tech in PE,149356,--,--,106788,--,--,114376,--,238298,106045,--,122440,98535,230611,--,85153,--,107857,186474,--,--,161331,--,--
"E237  Presidency University  Yelahanka, Bangalore",DM B.TECH IN CS NW,68486,101093,110182,60058,--,88032,65343,--,113360,48732,--,--,44480,--,--,39274,79929,56555,81110,--,--,118992,--,--
"E237  Presidency University  Yelahanka, Bangalore",DN B.Tech in VLSI,86068,--,--,85418,158899,--,105540,--,--,92479,--,105863,73408,--,--,68732,110568,90306,183585,--,--,179572,--,--
E238  Mysuru Royal Institute of Technology  Mandya (D),AI ArtificialIntelligence,111696,--,--,111194,--,117539,91312,--,--,88366,--,--,97335,--,--,87548,108054,95822,175271,--,182764,187065,--,--
E238  Mysuru Royal Institute of Technology  Mandya (D),CE Civil,--,--,--,197040,--,--,173130,--,--,--,--,246932,--,248772,--,160826,--,--,168931,--,--,--,--,--
E238  Mysuru Royal Institute of Technology  Mandya (D),CS Computers,58320,--,--,64894,77536,69812,58319,--,--,57194,--,--,59701,--,64818,55999,58842,61923,86914,104148,94716,70077,--,90208
E238  Mysuru Royal Institute of Technology  Mandya (D),EC Electronics,104071,--,135952,70555,89414,124930,89872,--,154703,70482,--,92569,73191,--,94615,66165,73524,66269,104161,146155,135530,77622,--,178232
E238  Mysuru Royal Institute of Technology  Mandya (D),IE Info.Science,75815,136586,--,77839,--,82822,78031,--,--,71847,--,--,72415,--,--,71408,--,76901,132869,--,149385,124326,254884,--
E238  Mysuru Royal Institute of Technology  Mandya (D),ME Mechanical,176700,--,--,197343,--,--,--,--,254987,--,--,--,--,--,--,164666,--,194064,228244,--,--,260769,--,--
"E239  East West College of Engineering  Yelahanka New Town, Bangalore",AE Aeronaut.Engg,88159,--,--,74550,--,86020,60687,--,--,75710,147187,97526,64945,--,--,58899,81237,75704,110103,--,121604,129390,--,176095
"E239  East West College of Engineering  Yelahanka New Town, Bangalore",CS Computers,38558,--,--,42318,68523,48025,42028,--,--,34653,--,46797,37533,--,46091,33297,42844,40014,47177,136866,84704,51808,--,62538
"E239  East West College of Engineering  Yelahanka New Town, Bangalore",EA AgricultureEngineering,103533,--,135075,88022,--,108825,80473,176613,--,61885,--,108971,69833,--,--,59244,96663,98232,129830,196567,156013,82360,--,--
"E239  East West College of Engineering  Yelahanka New Town, Bangalore",EC Electronics,63041,80752,--,66146,82640,79676,71482,155826,103938,57450,--,62706,58046,--,68250,57305,109823,60535,119301,--,177856,95754,--,--
"E239  East West College of Engineering  Yelahanka New Town, Bangalore",ME Mechanical,--,--,--,139998,--,--,--,--,--,--,--,--,--,--,--,125295,--,134552,224982,--,--,--,--,--
"E240  Dayananda Sagar University  Hosur Road, Bangalore",AM B Tech in AM,33798,--,48563,31469,52495,43270,35555,--,59910,24516,--,32594,25052,--,35192,23155,48138,31012,88669,163620,128905,109683,214821,142058
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BB B Tech in EC,40305,--,44570,35045,--,41604,38142,--,--,30704,--,--,29947,49637,--,29004,37768,33408,120597,177261,151743,124670,--,--
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BL B Tech in AS,45620,--,--,28236,--,38500,26194,--,--,27542,--,--,24449,--,--,21178,64831,22205,129902,--,167161,147015,--,--
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BQ B Tech in CG,40594,--,--,33308,--,42787,50747,--,78213,31592,121787,37990,25682,--,--,25247,--,34958,94105,--,116936,133756,--,--
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BW B Tech in CS,30459,36273,31486,27908,37456,33345,32442,--,48020,24116,--,25929,23869,35928,27836,21343,32854,25670,96078,120502,144398,101504,134130,128036
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BX B Tech in CY,35518,--,--,34841,61431,46076,33178,--,--,27586,--,--,30581,--,36211,26978,44356,34292,109257,179473,116040,146882,--,191873
"E240  Dayananda Sagar University  Hosur Road, Bangalore",BZ B Tech in DS,33584,--,--,32623,46192,35796,37901,52482,--,26127,--,35535,26608,--,40964,25723,39496,35432,116807,--,161654,141697,--,193728
"E240  Dayananda Sagar University  Hosur Road, Bangalore",DB B Tech in ME,85151,--,--,114697,--,155505,130112,--,--,87714,--,97684,75218,--,--,71503,131838,91991,186137,--,--,233760,--,--
"E240  Dayananda Sagar University  Hosur Road, Bangalore",DH B Tech in RAI,47301,--,84330,41220,--,--,39019,--,--,37849,--,--,35897,--,--,34012,59945,41331,122907,--,180032,85742,--,--
"E240  Dayananda Sagar University  Hosur Road, Bangalore",ZH B TECH INCOMP.SC.ART.INT,38463,--,--,33135,--,--,--,--,--,32180,--,37895,29701,--,--,29635,48150,36204,113696,--,--,136249,--,--
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,AR Architecture,--,--,--,439,--,--,--,--,--,400,--,--,414,--,--,399,--,--,503,--,--,--,--,--
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,BT Bio Technology,27847,38206,--,28282,--,86348,31558,142002,181018,28622,--,106278,22547,--,--,22150,44382,22164,45359,--,160865,100083,--,158928
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CE Civil,33505,45872,--,38554,--,78285,33267,--,143970,49034,155571,--,34268,--,--,30987,57642,31570,44929,--,94487,104163,--,137564
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CF CS(ArtificialIntel.),8866,--,25271,6684,15928,15117,8901,45466,--,6558,--,--,5827,--,--,4879,9966,6632,27690,49123,37794,53014,52051,23010
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CM B Tech in EV,29602,88122,35680,14509,--,60057,38934,--,--,--,--,--,13453,--,--,13388,--,27344,81402,--,--,80146,--,--
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,CS Computers,5956,--,12326,5901,7549,7136,7167,--,9153,4968,--,7038,4523,5600,5716,3768,4800,5446,19394,24663,28467,14559,67178,29981
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,EC Electronics,12319,--,17755,10616,12874,13934,13237,--,22557,8555,--,13355,9526,--,12939,8245,11789,12394,34434,44120,42367,19378,64821,59948
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,EE Electrical,23949,72913,--,22044,36081,29325,20661,--,143601,24509,46752,--,20828,29760,--,18054,22803,20853,44876,104474,87320,87676,--,99974
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,EV EC  Engg(VLSIDesign),--,--,--,18263,--,29958,29642,--,60967,23581,132413,--,17320,--,--,15127,21489,23104,69851,--,--,61636,--,73918
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,ME Mechanical,80614,--,--,55845,78869,79631,55191,--,--,51485,--,--,42748,--,61366,41171,53905,58077,103024,128540,176753,79196,--,213515
E241  KLE Technological University(Formerly BVBCET)  Dharward Dist,RO Auto. AndRobot.,26216,--,--,23198,72518,65333,23928,--,--,33830,55571,89936,24660,--,--,19103,31660,25811,83453,--,97834,39948,--,--
"E242  BGS School of Architecture and Planning  Campus, Bangalore",AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"E243  Adithya Academy of Architecture and Design  Yalahanka, Bangalore",AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,498,--,--,--,--,--,--,--,--
"E244  R V College of Architecture  Chikkegowdanapally,Bangalore",AR Architecture,183,--,--,126,--,--,175,--,--,97,--,--,87,--,199,42,209,187,463,--,--,381,--,--
E245  CMR University School of Architecture  Bangalore,AR Architecture,--,--,--,458,--,--,--,--,--,--,--,--,295,--,--,196,--,--,--,--,--,--,--,--
E246  The Oxford School of Architecture  Bangalore,AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,352,--,--,--,--,--,--,--,--
"E247  Bearys Enviro-Arctitecture Design School  Boliyar-Post, Mangalore",AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E248  Wadiyar Centre For Architecture  Mysuru,AR Architecture,320,--,--,457,--,--,152,--,--,151,--,--,112,--,--,66,--,308,332,--,--,404,--,--
E249  HMS School of Architecture  Tumkur,AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E250  K S School of Architecture  Bangalore,AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,476,--,--,--,--,--,--,--,--
E252  Mysore College of Engineering and Management  Mysore,"CA CS (AI, MachineLearning)",75813,--,--,61669,--,83684,61495,--,--,67022,109743,--,63317,--,--,59973,--,61087,112765,--,184934,116863,--,--
E252  Mysore College of Engineering and Management  Mysore,CE Civil,172046,235030,--,184619,--,--,--,--,--,--,--,--,--,--,--,167311,--,194093,219729,--,--,180715,--,--
E252  Mysore College of Engineering and Management  Mysore,CS Computers,45976,--,--,51706,65643,55822,45147,--,--,44386,--,--,46553,--,60610,43911,52416,53792,58615,75952,98301,49715,--,113435
E252  Mysore College of Engineering and Management  Mysore,DS Comp. Sc. Engg-Data Sc.,--,--,139354,69172,--,--,68704,--,109561,65813,--,--,70907,--,--,64962,--,68855,94148,--,107265,137413,--,--
E252  Mysore College of Engineering and Management  Mysore,EC Electronics,--,134075,103591,65722,--,117675,64474,--,144616,62451,--,--,75654,--,--,59188,72143,62631,94128,--,141630,74017,153926,--
E252  Mysore College of Engineering and Management  Mysore,IE Info.Science,63385,--,--,60748,71500,103517,57206,--,--,55813,67431,74790,60646,--,66815,55258,--,60023,85782,--,135359,69079,--,--
E252  Mysore College of Engineering and Management  Mysore,ME Mechanical,--,--,--,196724,--,--,163833,--,--,--,--,258276,--,--,--,150908,214437,--,220995,--,--,203143,--,--
E254  A J Institute Of Engineering And Technology  MANGALORE,"AD ArtificialIntel, Data Sc",65009,--,--,61793,--,88923,53438,--,--,57168,--,59311,62771,125292,--,52995,55655,53987,147523,--,237941,150104,--,--
E254  A J Institute Of Engineering And Technology  MANGALORE,"CA CS (AI, MachineLearning)",50605,--,--,54332,70814,64964,57173,--,--,72464,--,--,52600,--,--,50099,63303,60796,143056,--,257266,54331,245395,--
E254  A J Institute Of Engineering And Technology  MANGALORE,CE Civil,--,--,--,190129,--,--,--,--,--,--,--,248837,--,--,--,144038,--,153422,195929,--,--,220173,--,--
E254  A J Institute Of Engineering And Technology  MANGALORE,CS Computers,33378,--,--,31447,75878,43738,36100,--,--,37048,--,--,31577,--,57750,28183,31933,31261,76311,95921,117409,47045,--,143235
E254  A J Institute Of Engineering And Technology  MANGALORE,EC Electronics,67918,--,--,66362,89495,79259,76150,--,--,73847,--,106911,58540,--,--,58040,88587,68812,146902,239903,240997,274529,--,91413
E254  A J Institute Of Engineering And Technology  MANGALORE,"IC CS-IoT, CyberSecurity",76323,--,90641,74700,--,78954,--,--,117057,66275,--,--,69570,--,--,61917,67333,70561,185608,--,193332,130175,--,--
E254  A J Institute Of Engineering And Technology  MANGALORE,IE Info.Science,50856,--,--,43705,52509,62051,52989,146103,56659,50371,--,--,41387,--,45680,40124,43887,43288,139196,--,140526,59480,--,--
E254  A J Institute Of Engineering And Technology  MANGALORE,ME Mechanical,239980,--,--,185454,--,240764,161793,--,--,--,--,--,195400,--,--,154606,178092,187042,209631,--,--,220674,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST","CA CS (AI, MachineLearning)",64142,--,--,60411,106154,61828,56472,--,100760,49585,--,--,50710,99998,69907,48546,69851,61768,109722,228647,152732,74386,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",CB Comp. Sc. andBus Sys.,77731,--,--,67933,--,98955,--,--,--,59850,--,--,71748,149761,--,58754,95012,73114,137569,--,--,85903,--,101886
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",CE Civil,--,--,--,97877,--,--,201747,--,--,151551,--,--,--,--,--,92511,--,130117,161801,--,--,138037,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",CS Computers,50931,--,61410,49516,67382,55752,54925,--,89774,40771,--,53661,43673,--,56668,40099,47728,48576,98358,129519,125122,56679,234228,145834
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",CY CS- CyberSecurity,61242,135101,--,54334,--,127949,70804,--,--,58801,--,--,48270,--,--,44953,64142,54119,100183,--,--,139817,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",DS Comp. Sc. Engg-Data Sc.,62188,117540,--,64631,--,82598,68452,--,--,53291,--,--,54094,--,--,52262,87841,62197,116830,--,139313,85278,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",EC Electronics,69472,--,149561,74177,83460,86396,68569,--,--,68391,--,76360,70098,104850,80157,65492,66860,74903,141780,170094,160616,69519,--,247190
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",EE Electrical,103051,106969,155220,82657,--,143293,--,--,--,81565,--,146914,--,--,--,80698,--,92014,96043,--,--,95704,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",ER Electrical andComputer,--,--,98596,107303,--,--,--,--,--,--,--,--,94685,--,--,80867,--,--,207373,--,--,172523,--,236263
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",EV EC  Engg(VLSIDesign),--,--,--,96026,--,--,--,--,--,--,--,--,96432,--,--,82116,--,--,209288,--,--,--,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",IO CS- Internet ofThings,--,--,--,70116,122860,--,78943,--,152845,--,--,--,72090,--,--,62612,92456,70900,142605,--,--,--,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",ME Mechanical,169771,--,--,132303,--,139385,--,--,--,--,--,--,--,--,--,104898,--,118897,237178,--,--,--,--,--
"E255  Gandhi Institute of Technology and MNGT.,Gitam off Campus  BANGALORE RURAL DIST",RI Robotics and AI,--,--,124937,95917,--,--,--,--,--,75335,--,--,--,--,--,68352,--,74685,125394,--,--,--,--,--
